aX,aY,aZ,gX,gY,gZ
0.287,-0.946,-0.330,1.526,0.732,-3.113
0.288,-0.943,-0.335,1.221,0.916,-3.296
0.284,-0.939,-0.333,0.549,0.854,-3.906
0.283,-0.929,-0.335,-0.549,0.977,-4.578
0.281,-0.918,-0.335,-1.465,1.282,-5.127
1.537,-1.942,-1.099,125.122,-32.593,451.782
1.545,-2.117,-1.119,149.109,-37.659,439.209
1.510,-2.431,-1.090,165.955,-47.607,414.673
1.401,-2.634,-1.060,164.795,-50.232,388.611
1.285,-2.707,-1.016,147.095,-46.021,365.906
1.171,-2.725,-0.985,121.826,-36.499,345.154
1.079,-2.655,-0.918,91.064,-23.743,328.735
1.081,-2.549,-0.894,55.664,-6.409,316.772
0.781,-2.491,-0.825,26.184,13.123,305.298
0.882,-2.304,-0.879,5.615,37.537,291.138
0.718,-2.177,-0.944,-11.719,68.298,271.606
0.767,-2.136,-0.663,-16.113,65.857,242.187
0.806,-2.236,-0.537,-7.324,58.594,203.430
0.824,-2.166,-0.413,-13.123,55.969,172.791
0.844,-2.112,-0.301,-19.104,45.349,151.794
0.792,-2.125,-0.347,-20.508,32.349,134.644
0.760,-2.020,-0.383,-29.236,22.034,120.850
0.704,-1.867,-0.378,-36.621,10.681,109.070
0.641,-1.751,-0.388,-37.781,3.845,96.741
0.600,-1.636,-0.402,-35.400,0.366,82.275
0.596,-1.529,-0.417,-30.029,-0.366,67.078
0.555,-1.409,-0.388,-21.790,1.892,55.664
0.516,-1.351,-0.359,-8.057,4.333,44.434
0.499,-1.302,-0.340,2.502,9.277,31.799
0.509,-1.263,-0.323,8.911,13.916,20.874
0.525,-1.254,-0.299,13.611,17.151,13.000
0.540,-1.248,-0.268,14.526,19.043,7.568
0.562,-1.237,-0.234,9.583,19.104,3.174
0.591,-1.207,-0.215,1.343,18.127,0.793
0.621,-1.146,-0.225,-7.080,16.296,-0.183
0.646,-1.092,-0.244,-13.977,12.634,1.160
0.643,-1.024,-0.266,-17.334,7.874,5.066
0.620,-0.962,-0.285,-17.517,2.258,7.629
0.595,-0.928,-0.306,-14.954,-3.845,6.653
0.568,-0.900,-0.323,-10.315,-9.094,3.174
0.550,-0.884,-0.344,-4.761,-12.573,-0.793
0.537,-0.866,-0.367,0.854,-14.099,-3.845
0.523,-0.859,-0.376,5.005,-14.648,-6.897
0.517,-0.845,-0.377,7.385,-13.916,-9.216
0.516,-0.830,-0.385,7.324,-11.963,-10.742
0.526,-0.809,-0.390,5.737,-9.521,-12.024
0.537,-0.784,-0.391,3.235,-7.446,-12.390
0.550,-0.761,-0.395,0.793,-5.676,-11.597
0.550,-0.739,-0.396,-0.671,-4.089,-10.193
0.555,-0.719,-0.406,-1.526,-3.174,-8.667
0.559,-0.716,-0.407,-1.404,-3.357,-7.080
0.552,-0.718,-0.408,-0.671,-3.967,-5.432
0.545,-0.714,-0.406,0.366,-4.517,-4.333
0.544,-0.725,-0.406,1.404,-4.822,-3.967
0.540,-0.723,-0.410,1.953,-5.005,-3.357
0.539,-0.735,-0.407,1.648,-5.066,-2.808
0.531,-0.742,-0.395,1.038,-5.188,-1.892
0.520,-0.738,-0.385,-0.610,-5.066,-0.916
0.520,-0.741,-0.381,-2.502,-4.578,-0.732
0.518,-0.745,-0.383,-3.662,-3.784,-1.160
0.519,-0.741,-0.378,-3.601,-3.296,-1.648
0.517,-0.743,-0.378,-3.296,-2.686,-2.747
0.522,-0.740,-0.378,-3.357,-2.380,-3.357
0.526,-0.738,-0.384,-3.967,-2.136,-3.418
0.526,-0.737,-0.384,-4.456,-1.526,-2.747
0.525,-0.743,-0.387,-4.639,-1.038,-1.465
0.532,-0.749,-0.386,-4.517,-0.916,-0.854
0.529,-0.758,-0.369,-3.662,-0.610,-0.610
0.524,-0.764,-0.347,-3.174,0.305,-0.549
0.530,-0.766,-0.339,-3.235,1.526,-1.038
0.539,-0.767,-0.344,-3.906,1.831,-1.892
0.548,-0.776,-0.344,-4.272,0.427,-2.502
0.539,-0.781,-0.339,-4.028,-1.465,-2.502
0.530,-0.784,-0.336,-3.723,-2.869,-2.625
0.528,-0.781,-0.343,-3.662,-3.967,-3.357
0.532,-0.774,-0.350,-4.272,-4.272,-4.089
0.533,-0.762,-0.355,-4.211,-4.089,-4.089
0.529,-0.753,-0.355,-3.784,-3.174,-2.991
0.524,-0.740,-0.356,-3.601,-1.404,-1.648
0.530,-0.742,-0.359,-3.601,0.305,-0.366
0.532,-0.755,-0.355,-2.747,1.526,0.732
0.532,-0.769,-0.341,-1.526,2.197,1.770
0.538,-0.789,-0.335,-0.610,2.747,2.563
0.541,-0.797,-0.324,0.061,3.113,3.174
0.547,-0.809,-0.315,0.244,3.296,2.930
0.550,-0.814,-0.309,-0.061,2.686,1.953
0.553,-0.817,-0.307,-0.366,1.160,0.854
0.549,-0.817,-0.305,-0.854,-0.549,-0.061
0.550,-0.814,-0.314,-1.770,-1.587,-0.732
0.550,-0.821,-0.319,-2.686,-2.686,-1.160
0.539,-0.822,-0.323,-2.930,-2.808,-0.854
0.533,-0.821,-0.323,-3.479,-2.258,-0.671
0.532,-0.821,-0.328,-3.967,-1.343,-1.404
0.535,-0.817,-0.331,-4.089,-0.610,-2.502
0.539,-0.814,-0.337,-3.540,-0.671,-3.052
0.545,-0.812,-0.339,-2.686,-1.038,-3.235
0.544,-0.820,-0.333,-1.953,-1.709,-3.296
0.540,-0.827,-0.328,-1.282,-2.014,-2.991
0.545,-0.828,-0.330,-1.221,-2.197,-3.052
0.550,-0.825,-0.335,-1.709,-2.563,-3.174
0.544,-0.812,-0.337,-2.197,-3.052,-2.930
0.542,-0.805,-0.340,-2.563,-3.540,-2.075
0.537,-0.798,-0.343,-2.747,-3.601,-1.343
0.535,-0.797,-0.352,-2.808,-3.174,-0.488
0.536,-0.795,-0.361,-2.441,-2.319,-0.366
0.533,-0.793,-0.359,-1.648,-1.892,-0.732
0.530,-0.793,-0.356,-0.244,-1.465,-0.916
0.530,-0.796,-0.357,1.160,-0.793,-1.038
0.533,-0.797,-0.353,1.831,-0.061,-1.587
0.539,-0.810,-0.354,1.892,0.488,-1.831
0.535,-0.810,-0.345,1.465,0.671,-1.831
0.536,-0.811,-0.339,1.099,0.610,-2.258
0.544,-0.816,-0.340,0.183,-0.061,-2.930
0.538,-0.818,-0.333,-0.732,-0.793,-2.991
0.533,-0.824,-0.331,-1.160,-1.160,-2.441
0.533,-0.833,-0.334,-1.526,-0.854,-2.136
0.529,-0.834,-0.329,-1.587,-0.366,-2.563
0.531,-0.839,-0.322,-1.221,0.183,-3.296
0.533,-0.835,-0.321,-1.038,0.305,-4.822
0.536,-0.822,-0.317,-1.709,-0.244,-6.836
0.549,-0.815,-0.327,-2.441,-0.977,-7.935
0.550,-0.792,-0.333,-3.601,-1.892,-7.507
0.556,-0.776,-0.346,-4.395,-3.174,-6.165
0.550,-0.769,-0.352,-4.333,-3.845,-4.028
1.052,-1.926,-0.891,131.958,-59.509,398.926
1.036,-1.929,-0.905,131.104,-66.833,388.000
1.047,-1.958,-0.930,123.535,-66.284,375.305
1.070,-1.970,-0.998,112.366,-54.749,365.723
1.096,-1.938,-1.062,103.516,-37.964,357.910
1.107,-1.948,-1.097,96.863,-20.813,345.886
1.106,-1.995,-1.130,91.003,-4.944,329.834
1.084,-2.021,-1.057,86.365,8.667,312.195
1.011,-2.028,-0.922,77.698,24.902,293.884
0.939,-2.032,-0.792,63.538,44.739,274.292
0.929,-2.027,-0.678,46.204,63.171,254.395
0.971,-2.014,-0.590,29.663,75.928,235.962
