aX,aY,aZ,gX,gY,gZ
0.256,-0.823,0.567,2.502,5.737,1.526
0.884,1.073,-2.118,-78.613,-12.146,-5.920
0.907,1.267,-2.264,-94.238,-2.991,-17.212
0.816,1.378,-2.549,-110.168,19.043,-27.527
0.708,1.509,-2.849,-137.390,40.405,-34.729
0.596,1.660,-3.077,-169.495,45.959,-40.100
0.453,1.786,-3.189,-202.454,35.278,-44.922
0.334,1.859,-3.206,-236.450,12.939,-52.551
0.233,1.941,-3.127,-267.883,-18.372,-56.824
0.135,1.966,-2.959,-294.739,-56.396,-57.068
0.087,1.952,-2.747,-316.406,-99.487,-57.495
0.042,1.919,-2.461,-330.994,-149.170,-58.105
0.007,1.802,-2.154,-339.417,-203.552,-64.636
-0.006,1.716,-1.604,-341.858,-266.296,-80.566
0.023,1.583,-1.012,-329.163,-322.144,-99.915
0.050,1.460,-0.429,-309.082,-358.398,-119.934
0.096,1.312,0.074,-288.330,-371.948,-139.648
0.076,1.062,0.424,-271.118,-362.854,-156.372
0.036,0.794,0.681,-264.099,-341.919,-168.640
-0.083,0.491,0.851,-263.306,-315.857,-176.270
-0.168,0.155,0.961,-262.573,-287.964,-177.185
-0.201,-0.071,1.050,-257.874,-261.963,-172.302
-0.263,-0.195,1.026,-246.155,-229.675,-155.579
-0.353,-0.289,0.947,-242.249,-198.486,-136.108
-0.351,-0.370,1.004,-244.995,-182.922,-127.197
-0.345,-0.454,1.063,-231.628,-173.828,-126.404
-0.395,-0.540,1.066,-207.397,-168.945,-127.502
-0.367,-0.592,1.102,-184.265,-167.480,-127.502
-0.377,-0.580,1.129,-163.391,-157.166,-122.131
-0.434,-0.649,1.085,-151.733,-139.832,-116.272
-0.426,-0.628,1.062,-148.071,-121.399,-109.497
-0.381,-0.484,1.042,-145.874,-102.112,-97.473
-0.332,-0.346,0.977,-146.179,-89.478,-85.632
-0.270,-0.249,0.905,-146.423,-83.252,-80.261
-0.267,-0.217,0.883,-143.372,-86.792,-79.041
-0.223,-0.153,0.987,-133.789,-96.741,-81.482
-0.243,-0.161,1.051,-119.507,-101.929,-85.754
-0.287,-0.266,1.137,-113.220,-104.858,-93.750
-0.320,-0.368,1.254,-110.046,-103.516,-101.074
-0.394,-0.520,1.330,-108.582,-97.046,-102.905
-0.435,-0.683,1.417,-111.145,-86.182,-100.159
-0.437,-0.753,1.534,-111.633,-72.693,-90.210
-0.409,-0.800,1.591,-105.164,-57.068,-77.637
-0.310,-0.763,1.630,-93.018,-40.527,-66.528
-0.229,-0.707,1.579,-78.796,-22.949,-57.861
-0.168,-0.662,1.483,-66.162,-8.057,-55.054
-0.078,-0.581,1.384,-52.734,4.517,-54.993
-0.039,-0.522,1.234,-40.955,15.076,-55.237
-0.010,-0.503,1.118,-35.217,19.287,-57.312
0.041,-0.480,1.036,-33.936,21.545,-60.303
0.085,-0.472,0.970,-36.438,23.437,-61.462
0.150,-0.460,0.936,-40.710,25.757,-64.758
0.182,-0.469,0.905,-43.335,28.870,-69.275
0.202,-0.525,0.899,-44.373,31.433,-73.059
0.235,-0.590,0.929,-41.260,33.630,-75.439
0.201,-0.679,0.931,-33.081,35.217,-73.059
0.193,-0.718,0.929,-25.940,37.292,-67.200
0.234,-0.714,0.898,-20.081,40.588,-59.998
0.189,-0.728,0.833,-17.517,42.847,-53.772
0.209,-0.751,0.766,-17.944,42.908,-51.941
0.222,-0.747,0.716,-18.066,39.978,-48.950
0.215,-0.733,0.691,-21.484,37.048,-45.044
0.267,-0.692,0.730,-27.161,35.339,-43.335
0.305,-0.675,0.732,-30.396,37.720,-42.725
0.293,-0.685,0.704,-36.621,42.542,-43.457
0.343,-0.669,0.706,-45.288,48.462,-44.922
0.347,-0.670,0.680,-50.842,54.382,-44.006
0.341,-0.691,0.657,-53.162,55.054,-44.617
0.345,-0.682,0.636,-50.720,51.941,-45.654
0.269,-0.741,0.615,-46.448,45.532,-46.631
0.222,-0.828,0.662,-40.527,33.447,-47.668
0.147,-0.846,0.654,-30.151,22.339,-45.227
-0.047,-0.891,0.591,-15.564,10.071,-44.067
0.073,-0.882,0.685,-4.395,-3.174,-47.607
