aX,aY,aZ,gX,gY,gZ
-0.137,-0.148,0.586,4.456,-15.320,10.681
-0.118,-0.146,0.572,2.014,-9.521,11.230
-0.097,-0.133,0.560,-0.793,-9.094,12.146
-0.100,-0.104,0.542,-3.601,-12.024,14.526
1.487,-0.173,2.085,-69.824,7.812,5.493
1.599,-0.172,1.955,-65.063,-15.198,16.479
1.717,-0.168,1.827,-63.660,-44.006,25.208
1.765,-0.095,1.685,-64.819,-75.073,33.447
1.674,-0.023,1.767,-62.622,-98.145,38.147
1.832,-0.140,1.547,-59.387,-101.257,35.339
1.914,-0.161,1.401,-56.946,-102.295,36.865
1.901,-0.178,1.274,-49.988,-98.816,41.626
1.860,-0.305,1.193,-34.302,-89.539,40.039
1.889,-0.432,0.996,-22.278,-81.970,29.175
1.834,-0.441,0.907,-16.663,-88.013,18.799
1.879,-0.483,0.719,-12.878,-102.539,8.362
1.909,-0.539,0.507,-9.460,-124.695,-0.793
1.849,-0.566,0.400,-11.292,-150.024,-5.737
1.857,-0.545,0.156,-19.958,-167.358,-7.812
1.824,-0.485,-0.057,-27.954,-179.871,-6.042
1.653,-0.402,-0.064,-29.480,-187.805,-2.686
1.569,-0.360,-0.185,-29.968,-183.044,-0.122
1.451,-0.340,-0.218,-30.029,-177.856,3.784
1.249,-0.350,-0.214,-28.198,-173.035,7.751
1.046,-0.370,-0.143,-26.550,-166.382,9.521
0.883,-0.448,-0.032,-25.940,-157.471,6.409
0.781,-0.495,0.024,-29.480,-143.555,-0.488
0.669,-0.469,0.138,-36.499,-131.042,-10.681
0.692,-0.432,0.161,-43.091,-118.225,-25.513
0.804,-0.399,0.222,-44.800,-109.497,-40.710
0.972,-0.315,0.089,-41.321,-104.614,-50.232
1.024,-0.243,-0.084,-35.278,-111.877,-50.720
0.965,-0.156,-0.203,-31.067,-129.028,-44.312
0.917,-0.101,-0.375,-28.381,-142.151,-35.889
0.741,-0.031,-0.520,-24.475,-147.644,-21.484
0.477,0.014,-0.565,-17.700,-147.095,-2.686
0.306,-0.060,-0.566,-10.620,-140.259,10.925
0.147,-0.126,-0.520,-8.972,-133.179,18.127
-0.001,-0.152,-0.455,-12.634,-127.014,21.484
-0.105,-0.169,-0.366,-16.174,-117.371,18.677
-0.149,-0.152,-0.305,-17.029,-103.455,10.254
-0.158,-0.118,-0.280,-14.343,-88.501,2.014
-0.196,-0.048,-0.236,-8.057,-78.613,-3.113
-0.189,-0.003,-0.219,-0.122,-73.853,-7.690
-0.191,-0.003,-0.184,10.986,-71.716,-8.972
-0.216,0.004,-0.146,18.677,-68.726,-6.470
-0.253,0.012,-0.134,18.555,-64.209,-3.113
-0.295,0.036,-0.102,14.771,-59.204,1.282
-0.332,0.055,-0.114,11.719,-51.025,5.554
-0.377,0.069,-0.063,11.108,-44.006,7.996
-0.425,0.062,-0.022,13.062,-36.865,9.216
-0.464,0.013,0.018,16.296,-28.320,10.437
-0.473,-0.053,0.050,17.334,-18.799,10.132
-0.488,-0.081,0.089,15.564,-9.338,7.507
-0.487,-0.085,0.155,14.221,-2.686,3.906
-0.445,-0.088,0.212,14.038,-1.465,-0.549
-0.425,-0.088,0.242,15.076,-5.615,-5.249
-0.425,-0.080,0.293,17.151,-13.062,-7.629
-0.425,-0.076,0.352,18.494,-18.616,-7.507
-0.398,-0.091,0.379,17.822,-19.226,-6.226
-0.396,-0.075,0.422,14.832,-16.479,-3.052
-0.405,-0.043,0.476,11.658,-10.620,0.183
-0.385,-0.042,0.517,11.475,-3.235,2.625
-0.375,-0.060,0.577,14.099,2.014,3.906
-0.381,-0.082,0.640,17.212,5.798,4.272
-0.370,-0.109,0.673,18.860,9.094,4.211
-0.366,-0.119,0.719,19.714,11.230,3.418
-0.362,-0.123,0.772,20.874,14.160,1.526
-0.342,-0.127,0.822,21.606,18.188,-1.099
-0.313,-0.124,0.867,21.362,22.034,-3.174
-0.286,-0.134,0.891,21.973,23.743,-3.845
-0.272,-0.140,0.926,22.827,22.461,-2.930
-0.264,-0.153,0.975,22.522,20.447,-1.953
-0.234,-0.162,0.975,19.226,20.386,-0.977
-0.222,-0.158,0.982,15.076,19.409,0.488
-0.219,-0.146,1.002,12.756,17.273,1.953
-0.202,-0.135,1.009,12.146,16.296,2.563
-0.195,-0.135,1.023,12.390,15.259,2.136
-0.183,-0.128,1.016,11.963,14.404,0.977
-0.181,-0.117,1.001,12.146,12.939,0.488
-0.181,-0.124,1.001,13.916,10.986,1.160
-0.182,-0.133,1.000,15.381,10.010,1.282
-0.180,-0.139,1.001,15.747,10.315,0.549
-0.171,-0.147,1.001,15.991,10.925,-0.732
-0.162,-0.153,0.990,15.076,10.986,-1.465
-0.156,-0.144,0.968,13.245,9.888,-1.221
-0.150,-0.127,0.948,12.024,7.751,-0.305
-0.168,-0.109,0.943,12.451,6.165,1.099
-0.183,-0.108,0.939,13.977,6.104,1.648
-0.166,-0.107,0.939,15.930,7.141,0.671
-0.149,-0.109,0.943,18.372,8.179,-1.343
-0.146,-0.124,0.968,21.301,7.874,-2.686
-0.135,-0.137,0.997,22.095,7.568,-3.357
-0.117,-0.138,1.000,20.569,7.507,-4.150
-0.126,-0.118,0.969,18.250,5.371,-4.333
-0.130,-0.092,0.951,17.700,0.854,-3.540
-0.132,-0.092,0.944,20.813,-3.723,-3.479
-0.130,-0.117,0.965,24.963,-6.775,-3.845
-0.108,-0.150,0.981,25.818,-7.751,-3.540
-0.089,-0.169,0.988,21.912,-7.812,-2.563
-0.102,-0.155,0.995,15.198,-7.812,-0.427
-0.085,-0.123,0.948,7.751,-6.775,2.930
-0.096,-0.095,0.878,1.343,-8.972,6.287
-0.123,-0.072,0.852,-1.953,-15.259,11.169
-0.171,-0.065,0.831,-1.282,-20.325,15.808
-0.195,-0.073,0.785,-0.977,-19.287,18.982
-0.201,-0.084,0.747,-0.671,-16.113,20.752
-0.222,-0.126,0.762,1.831,-13.672,21.362
-0.226,-0.169,0.789,4.578,-9.766,19.958
-0.209,-0.201,0.826,5.920,-4.456,16.113
-0.191,-0.209,0.864,5.981,0.427,10.986
-0.183,-0.183,0.882,5.615,3.418,7.019
-0.163,-0.139,0.877,3.662,3.662,4.761
-0.145,-0.093,0.859,2.136,2.258,3.967
-0.146,-0.051,0.829,3.662,-0.122,5.615
-0.160,-0.046,0.808,8.423,-2.258,9.705
-0.155,-0.090,0.817,13.367,-3.174,13.245
-0.156,-0.146,0.838,15.320,-1.587,15.259
-0.160,-0.188,0.881,12.573,2.686,16.479
-0.136,-0.220,0.914,7.446,8.911,16.479
-0.123,-0.225,0.925,1.709,14.404,14.526
-0.141,-0.173,0.893,-4.150,15.320,13.367
-0.136,-0.133,0.851,-8.484,11.169,14.038
-0.216,-0.658,2.634,-60.730,79.102,14.404
-0.146,-0.560,2.623,-74.341,66.284,9.644
-0.041,-0.510,2.629,-83.557,47.119,12.573
0.073,-0.518,2.584,-84.167,25.818,20.081
0.128,-0.522,2.527,-78.308,6.042,30.762
0.185,-0.546,2.506,-69.092,-11.108,38.757
0.276,-0.595,2.466,-58.655,-25.391,39.490
0.384,-0.623,2.449,-52.612,-33.813,33.142
0.536,-0.624,2.393,-50.842,-36.316,22.522
0.654,-0.609,2.327,-50.842,-34.302,9.094
0.814,-0.552,2.214,-51.147,-28.137,-5.005
1.012,-0.524,2.076,-52.612,-20.142,-19.958
1.231,-0.452,1.887,-55.481,-11.780,-32.532
1.408,-0.392,1.751,-56.091,-7.019,-40.527
1.552,-0.360,1.636,-53.589,-6.165,-43.213
1.614,-0.330,1.643,-55.420,-9.766,-42.358
1.737,-0.322,1.530,-57.678,-15.442,-44.067
1.841,-0.353,1.479,-54.810,-32.654,-44.128
1.874,-0.425,1.454,-55.054,-56.458,-40.894
1.840,-0.476,1.370,-59.570,-80.139,-31.433
1.766,-0.543,1.312,-60.547,-104.980,-20.203
1.729,-0.624,1.175,-62.012,-126.038,-8.301
1.658,-0.653,0.994,-67.078,-143.005,5.310
1.601,-0.627,0.753,-72.449,-157.288,15.625
1.585,-0.585,0.452,-74.036,-168.518,22.766
1.572,-0.496,0.172,-67.810,-178.162,30.762
1.507,-0.480,-0.049,-37.048,-184.387,29.541
1.441,-0.400,-0.306,-23.926,-179.504,23.071
1.364,-0.347,-0.318,-14.343,-167.236,12.878
1.287,-0.284,-0.356,-8.484,-150.391,3.052
1.128,-0.259,-0.267,-3.235,-140.686,-2.380
1.004,-0.293,-0.181,0.061,-133.972,-5.859
0.947,-0.373,-0.062,-3.235,-124.878,-10.193
0.877,-0.437,-0.002,-16.724,-114.624,-15.686
0.819,-0.205,-0.020,-60.730,-98.389,-28.809
0.778,-0.057,-0.050,-67.078,-98.450,-35.889
0.773,0.035,-0.066,-61.768,-104.248,-40.894
0.786,0.114,-0.098,-53.101,-112.671,-46.021
0.762,0.172,-0.167,-44.067,-121.399,-50.110
0.699,0.194,-0.180,-35.156,-130.493,-46.631
0.622,0.226,-0.244,-30.457,-131.653,-36.438
0.561,0.198,-0.333,-27.100,-127.563,-21.606
0.384,0.154,-0.385,-21.606,-127.014,-2.502
0.198,0.076,-0.421,-17.578,-123.596,16.541
0.022,-0.051,-0.405,-15.991,-117.676,30.212
-0.146,-0.144,-0.392,-19.165,-108.643,36.926
-0.273,-0.188,-0.349,-24.292,-96.375,36.926
-0.351,-0.197,-0.271,-25.391,-84.045,30.151
-0.404,-0.166,-0.174,-20.325,-72.083,17.456
-0.391,-0.103,-0.044,-10.010,-59.875,-0.671
-0.280,-0.041,0.115,16.235,-39.429,-31.982
-0.139,0.099,0.179,25.452,-38.330,-34.668
-0.101,0.143,0.204,27.283,-38.635,-30.518
-0.109,0.195,0.196,24.414,-41.077,-18.921
-0.144,0.210,0.199,21.362,-45.532,-2.380
-0.212,0.156,0.240,20.020,-46.875,13.916
-0.287,0.048,0.276,18.616,-42.114,27.527
-0.364,-0.056,0.325,15.625,-34.607,37.048
-0.445,-0.144,0.375,10.132,-26.733,39.368
-0.476,-0.201,0.394,3.540,-19.226,35.522
-0.463,-0.216,0.369,-0.366,-13.306,28.625
-0.453,-0.204,0.365,1.892,-10.681,20.630
-0.463,-0.175,0.355,8.728,-8.911,12.817
-0.465,-0.147,0.346,15.686,-6.287,5.554
-0.447,-0.123,0.361,21.606,-2.686,-0.610
-0.434,-0.119,0.415,27.100,1.770,-6.104
-0.410,-0.108,0.472,30.945,7.812,-10.010
-0.375,-0.121,0.571,34.607,13.245,-12.451
-0.348,-0.164,0.706,36.377,18.433,-15.076
-0.285,-0.194,0.776,32.654,23.560,-15.808
-0.239,-0.170,0.797,24.231,26.794,-13.428
-0.231,-0.145,0.798,18.799,23.437,-9.399
-0.227,-0.132,0.803,16.663,16.724,-6.226
-0.238,-0.127,0.788,15.076,11.475,-3.540
-0.251,-0.137,0.775,13.916,8.972,-0.305
-0.280,-0.143,0.781,14.038,8.118,2.319
-0.297,-0.170,0.804,15.259,9.521,3.723
-0.298,-0.206,0.856,16.602,12.268,4.211
-0.293,-0.218,0.893,15.320,16.663,2.197
-0.255,-0.209,0.915,13.000,20.569,-0.793
-0.229,-0.214,0.922,13.062,21.423,-2.808
-0.218,-0.214,0.918,13.550,18.372,-3.906
-0.223,-0.218,0.898,13.000,14.160,-4.089
-0.240,-0.214,0.886,12.451,10.010,-2.991
-0.258,-0.214,0.873,12.573,8.423,-2.502
-0.260,-0.211,0.880,13.428,9.644,-3.235
-0.241,-0.215,0.887,14.587,12.451,-5.371
-0.218,-0.214,0.919,16.235,15.076,-7.690
-0.199,-0.196,0.928,17.212,15.564,-9.216
-0.193,-0.182,0.928,17.395,13.550,-10.071
-0.200,-0.185,0.940,16.968,10.864,-8.911
-0.189,-0.185,0.935,15.198,10.254,-7.690
-0.166,-0.186,0.911,12.878,11.902,-7.324
-0.153,-0.178,0.885,11.047,11.230,-7.141
-0.144,-0.155,0.856,9.644,8.362,-6.714
-0.120,-0.135,0.816,9.705,3.357,-6.775
-0.100,-0.120,0.775,12.390,-2.380,-7.080
-0.092,-0.099,0.732,15.686,-7.812,-6.165
-0.110,-0.103,0.686,17.395,-13.611,-4.333
-0.137,-0.121,0.679,16.663,-17.700,-0.793
