aX,aY,aZ,gX,gY,gZ
0.438,-0.779,0.486,3.296,-0.793,-1.221
1.601,-1.494,0.925,-95.337,63.049,517.944
1.676,-1.749,0.960,-117.065,80.017,500.671
1.736,-1.990,0.979,-127.625,92.896,473.877
1.835,-2.235,0.985,-117.798,91.309,450.867
1.857,-2.376,1.001,-84.656,68.176,431.091
1.764,-2.317,0.946,-44.495,34.485,413.452
1.691,-2.230,0.922,-14.221,3.113,393.066
1.581,-2.095,1.012,-11.719,-17.639,370.911
1.467,-1.999,1.012,-43.457,-20.935,342.957
1.367,-1.936,0.939,-92.529,-17.944,304.871
1.303,-1.962,0.943,-135.071,-24.719,261.353
1.278,-1.995,0.923,-161.987,-36.804,224.854
0.666,-1.973,0.862,-171.509,-52.368,198.730
1.145,-2.013,0.723,-161.011,-66.040,178.589
1.318,-1.792,0.696,-141.296,-64.697,174.072
1.222,-2.141,0.531,-114.441,-56.396,144.714
1.112,-1.948,0.582,-102.356,-41.809,134.888
1.132,-1.812,0.492,-86.792,-20.447,140.015
1.026,-1.759,0.561,-70.129,-5.676,139.404
1.003,-1.742,0.584,-56.335,7.446,130.676
0.961,-1.789,0.570,-46.692,21.912,116.516
0.883,-1.826,0.552,-37.659,29.114,104.492
0.839,-1.804,0.561,-27.283,27.893,93.018
0.762,-1.719,0.491,-17.212,23.132,78.796
0.743,-1.591,0.474,-9.705,14.648,60.974
0.741,-1.451,0.490,-6.714,5.859,43.701
0.725,-1.309,0.533,-10.620,3.418,29.419
0.640,-1.205,0.464,-21.301,6.592,16.907
0.603,-1.093,0.420,-31.433,8.057,6.042
0.617,-1.069,0.479,-33.997,4.028,-1.770
0.630,-1.051,0.487,-34.790,3.357,-2.625
0.605,-1.012,0.464,-33.691,2.625,3.357
0.605,-1.020,0.480,-28.503,-0.183,8.728
0.616,-1.025,0.527,-21.790,-2.625,10.254
0.619,-0.986,0.485,-17.334,-2.319,7.812
0.612,-1.005,0.465,-13.367,-3.174,2.380
0.662,-0.966,0.443,-11.902,-6.958,-2.991
0.672,-0.931,0.431,-11.047,-10.559,-7.629
