aX,aY,aZ,gX,gY,gZ
-0.447,-0.296,-2.738,302.124,-42.725,-87.341
-0.473,-0.387,-2.497,316.589,-75.012,-100.769
-0.447,-0.497,-2.189,326.721,-108.276,-109.253
-0.414,-0.571,-1.866,333.801,-136.780,-113.831
-0.386,-0.624,-1.559,339.783,-157.288,-116.089
-0.333,-0.642,-1.280,342.468,-172.424,-119.507
-0.235,-0.652,-1.000,340.027,-186.707,-126.343
-0.104,-0.695,-0.697,337.708,-200.500,-133.484
-0.010,-0.764,-0.394,337.830,-209.229,-137.573
0.112,-0.829,-0.113,337.097,-209.167,-137.878
0.230,-0.905,0.147,334.900,-203.796,-134.583
0.327,-0.901,0.338,328.430,-193.481,-126.648
0.425,-0.882,0.473,320.923,-180.603,-116.638
0.516,-0.902,0.632,315.186,-169.189,-107.666
0.596,-0.896,0.714,305.054,-155.518,-97.412
0.673,-0.864,0.791,296.326,-143.555,-86.426
0.713,-0.878,0.898,291.870,-134.705,-76.477
0.729,-0.858,0.989,284.607,-125.305,-67.505
0.717,-0.824,1.115,273.193,-121.399,-60.974
0.714,-0.828,1.255,253.235,-121.460,-59.753
0.714,-0.831,1.339,227.600,-118.713,-56.641
0.696,-0.778,1.361,204.834,-110.535,-49.744
0.653,-0.718,1.360,190.552,-97.046,-42.786
0.599,-0.681,1.322,179.932,-83.191,-37.109
0.563,-0.652,1.258,167.664,-71.655,-34.851
0.540,-0.617,1.156,154.724,-63.049,-33.386
0.522,-0.565,1.057,146.423,-58.228,-31.311
0.505,-0.512,0.978,143.982,-56.946,-31.616
0.499,-0.493,0.905,143.860,-57.434,-34.546
0.493,-0.493,0.859,144.226,-60.364,-40.039
0.509,-0.491,0.862,143.188,-65.857,-49.316
0.577,-0.531,0.941,140.625,-71.960,-59.387
0.665,-0.635,1.052,132.874,-78.430,-66.101
0.728,-0.646,1.128,117.737,-80.139,-64.453
0.762,-0.595,1.155,102.234,-74.280,-56.274
0.760,-0.528,1.161,93.140,-64.636,-48.035
0.760,-0.459,1.161,88.013,-54.260,-40.527
0.737,-0.402,1.154,83.008,-46.021,-34.790
0.708,-0.344,1.134,77.332,-40.527,-30.273
0.684,-0.300,1.097,73.364,-36.377,-27.344
0.653,-0.265,1.044,72.632,-32.104,-25.635
0.644,-0.220,1.000,75.012,-26.611,-24.231
0.635,-0.206,0.952,77.820,-18.982,-24.109
0.625,-0.191,0.896,77.454,-11.658,-23.071
0.621,-0.156,0.867,74.402,-6.592,-22.217
0.626,-0.131,0.842,66.223,-3.418,-22.705
0.650,-0.108,0.833,54.504,-3.845,-23.315
0.665,-0.109,0.831,42.419,-6.836,-23.682
0.680,-0.108,0.834,32.104,-8.118,-23.315
0.700,-0.117,0.829,24.902,-5.981,-22.644
0.717,-0.132,0.792,19.592,-0.427,-21.484
0.724,-0.140,0.711,17.456,6.470,-19.958
0.747,-0.106,0.635,19.531,11.230,-18.799
0.765,-0.084,0.587,23.560,13.428,-18.555
0.782,-0.068,0.528,26.428,14.893,-18.738
0.798,-0.075,0.501,28.992,11.780,-19.470
0.814,-0.099,0.502,30.151,5.737,-19.653
0.827,-0.133,0.519,29.602,-0.610,-18.982
0.870,-0.167,0.559,26.733,-6.470,-17.700
1.051,-0.323,0.527,25.085,-4.883,-16.663
1.052,-0.306,0.443,31.128,8.118,-8.911
0.980,-0.211,0.559,32.227,3.052,2.625
0.941,-0.183,0.573,24.109,-1.892,2.014
0.929,-0.185,0.584,15.381,-5.493,-0.183
0.890,-0.179,0.624,9.827,-9.583,1.587
0.843,-0.130,0.651,7.874,-7.141,4.761
0.796,-0.092,0.640,7.874,-1.221,6.592
0.764,-0.061,0.624,8.789,3.723,7.263
0.741,-0.038,0.597,9.949,6.470,7.141
0.748,-0.037,0.603,9.399,4.578,7.568
0.716,-0.014,0.647,3.296,-4.150,8.667
0.712,-0.015,0.665,-2.258,-9.521,6.226
0.706,-0.040,0.684,-5.493,-10.132,3.174
0.730,-0.067,0.638,-2.991,-0.977,-0.366
0.796,-0.108,0.578,2.991,11.047,-0.854
0.837,-0.127,0.540,6.470,15.564,0.977
0.839,-0.136,0.524,6.653,14.404,3.113
0.813,-0.122,0.533,4.456,8.606,4.578
0.790,-0.112,0.538,2.869,4.456,4.639
0.779,-0.120,0.547,3.113,2.808,3.845
0.778,-0.121,0.575,2.563,0.549,2.625
0.780,-0.128,0.599,0.610,-2.258,2.136
0.778,-0.141,0.621,-0.244,-3.540,2.380
0.772,-0.147,0.627,1.160,-1.221,3.540
0.773,-0.128,0.615,3.723,3.052,5.371
0.774,-0.109,0.600,5.798,5.859,6.531
0.777,-0.111,0.593,6.287,5.798,6.348
0.785,-0.123,0.599,5.432,3.784,5.981
0.788,-0.119,0.606,4.517,2.747,6.592
0.792,-0.116,0.610,4.700,3.723,7.263
0.795,-0.113,0.599,4.700,5.615,7.690
0.791,-0.108,0.575,4.883,7.507,8.240
0.792,-0.108,0.556,5.127,8.850,8.484
0.784,-0.093,0.525,5.798,11.047,8.850
0.778,-0.081,0.503,7.141,12.207,8.423
0.776,-0.069,0.503,7.263,10.376,6.653
0.767,-0.053,0.511,5.676,6.287,5.005
0.769,-0.055,0.539,4.150,1.221,2.686
0.783,-0.069,0.564,2.563,-2.014,0.610
0.798,-0.080,0.581,1.831,-2.930,0.000
0.810,-0.101,0.589,1.892,-2.075,0.244
0.818,-0.114,0.578,1.953,0.427,1.282
0.814,-0.108,0.549,1.831,3.235,2.686
0.809,-0.104,0.524,1.648,4.089,2.991
0.821,-0.110,0.527,2.197,2.747,1.831
0.829,-0.112,0.534,2.686,1.709,1.099
0.833,-0.113,0.531,3.479,1.709,0.793
0.834,-0.113,0.531,4.456,1.709,0.671
0.832,-0.116,0.531,5.005,1.526,0.854
0.831,-0.115,0.526,4.395,1.038,1.404
0.838,-0.125,0.529,3.113,-0.488,1.526
0.831,-0.133,0.545,2.075,-2.686,2.380
0.812,-0.125,0.563,2.502,-2.991,3.906
0.794,-0.109,0.576,3.235,-1.892,4.639
0.785,-0.092,0.571,2.930,-0.061,3.967
0.785,-0.088,0.569,2.014,-0.061,2.625
0.780,-0.090,0.567,0.916,-0.854,1.404
0.774,-0.095,0.570,0.366,-1.587,0.000
0.776,-0.103,0.568,0.244,-1.221,-1.648
-0.282,0.015,-3.133,262.085,-71.350,-114.502
-0.334,-0.129,-3.107,300.110,-76.965,-134.094
-0.387,-0.279,-3.031,334.473,-79.895,-147.949
-0.415,-0.394,-2.896,362.976,-84.167,-155.334
-0.459,-0.454,-2.757,380.920,-91.187,-158.203
-0.533,-0.485,-2.603,391.357,-100.403,-158.875
-0.600,-0.471,-2.473,397.888,-109.131,-160.522
-0.664,-0.465,-2.357,405.334,-116.821,-165.955
-0.674,-0.497,-2.233,417.175,-125.671,-174.194
-0.713,-0.525,-2.080,431.213,-139.709,-184.814
